Wall time,Step,Value
1715365939.621852,4,-650.2830810546875
1715365939.7006366,14,-591.6209716796875
1715365939.7090204,15,-599.29052734375
1715365939.7297237,18,-581.3214111328125
1715365939.7836652,26,-548.7197875976562
1715365939.7902534,27,-550.6914672851562
1715365970.575548,40,-528.53857421875
1715365970.645128,47,-491.8353271484375
1715365970.6515076,48,-487.9226379394531
1715365970.6579258,49,-484.2805480957031
1715365970.7673414,62,-473.1672668457031
1715365970.7753122,63,-475.1950378417969
1715365970.819404,67,-480.85675048828125
1715365997.9741216,70,-136.11143493652344
1715365997.9801824,71,-140.6123809814453
1715365998.0211997,77,-118.45307159423828
1715365998.0627887,82,-224.50306701660156
1715365998.1173785,89,-239.63328552246094
1715365998.1940608,99,-275.54559326171875
1715365998.2209861,103,-259.7221984863281
1715366025.165462,107,-122.80714416503906
1715366025.2702456,121,-142.88438415527344
1715366025.2968512,125,-141.8809814453125
1715366025.3046923,126,-142.38026428222656
1715366025.3231316,128,-142.6422119140625
1715366025.3385909,130,-143.7278594970703
1715366025.380931,136,-142.502685546875
1715366052.2013054,144,-137.6480255126953
1715366052.217714,146,-150.70787048339844
1715366052.2257144,147,-157.36245727539062
1715366052.2473757,150,-148.4451141357422
1715366052.301317,157,-141.82339477539062
1715366052.3236344,160,-140.22119140625
1715366052.3388994,162,-141.1288299560547
1715366052.3552265,164,-141.83839416503906
1715366052.4198859,172,-140.0815887451172
1715366079.7266436,177,-113.89705657958984
1715366079.777078,184,-73.78187561035156
1715366079.8332863,191,-90.10137176513672
1715366079.840648,192,-91.24579620361328
1715366079.9255793,203,-90.66757202148438
1715366079.9420412,205,-89.42591857910156
1715366106.3603399,213,-155.21588134765625
1715366106.4906757,229,-130.29600524902344
1715366106.615518,244,-128.26390075683594
1715366134.1035297,245,-278.4576721191406
1715366134.283499,258,-220.18411254882812
1715366134.2927725,259,-220.26588439941406
1715366134.4748247,271,-220.21759033203125
1715366134.5365298,274,-233.36000061035156
1715366162.9955173,282,-170.9513702392578
1715366163.0208426,285,-152.6029052734375
1715366163.043303,288,-152.20553588867188
1715366163.060765,290,-150.57369995117188
1715366163.1010537,295,-139.64999389648438
1715366163.1164374,297,-138.47731018066406
1715366163.206939,308,-141.12619018554688
1715366163.2419817,312,-142.8808135986328
1715366192.0727715,316,-136.5730743408203
1715366192.0849836,318,-142.29327392578125
1715366192.0914228,319,-134.04159545898438
1715366192.1122818,322,-111.93402862548828
1715366192.26325,345,-135.3900604248047
1715366192.270279,346,-135.48362731933594
1715366220.7382312,358,-134.59591674804688
1715366220.7845397,364,-125.15931701660156
1715366220.7910163,365,-127.58259582519531
1715366220.7966092,366,-123.76962280273438
1715366220.8788385,378,-119.72923278808594
1715366249.928135,386,-126.1135025024414
1715366249.957528,390,-84.80807495117188
1715366249.9714384,392,-77.47538757324219
1715366250.0121818,397,-106.78643035888672
1715366250.0512576,402,-103.07274627685547
1715366250.0692022,404,-107.00159454345703
1715366250.1566272,415,-106.18498229980469
1715366279.887127,421,-112.02835845947266
1715366279.8939798,422,-125.82891082763672
1715366279.997185,436,-109.35623931884766
1715366280.0043783,437,-111.86979675292969
1715366280.020559,439,-113.30941772460938
1715366280.071352,446,-112.7134017944336
1715366280.106177,452,-110.07566833496094
1715366311.7486386,461,-120.55496215820312
1715366311.7768688,465,-126.06034088134766
1715366311.7945564,468,-130.56248474121094
1715366311.8091063,470,-130.28646850585938
1715366311.8400412,474,-128.71234130859375
1715366311.8461044,475,-127.7355728149414
1715366311.8810103,480,-126.24793243408203
1715366311.887991,481,-126.82793426513672
1715366311.928871,487,-128.49781799316406
1715366343.2054265,510,-95.89019012451172
1715366343.221873,512,-89.75068664550781
1715366343.2275248,513,-90.15826416015625
1715366343.2335615,514,-87.43016815185547
1715366343.257612,517,-87.07836151123047
1715366343.2739675,519,-90.61992645263672
1715366376.036038,533,-124.36035919189453
1715366376.0424054,534,-125.01920318603516
1715366376.055895,536,-123.51609802246094
1715366376.0734422,538,-126.83467102050781
1715366376.085339,540,-126.48751068115234
1715366376.1186178,544,-120.06462860107422
1715366376.1325917,546,-119.70662689208984
1715366376.1611643,550,-120.23174285888672
1715366376.1760356,552,-120.80169677734375
1715366376.2032595,556,-122.12505340576172
1715366408.8993495,562,-102.57173919677734
1715366408.9233828,564,-88.9033432006836
1715366408.9644878,568,-92.39421844482422
1715366409.1712873,584,-82.02981567382812
1715366409.2307215,590,-86.88204193115234
1715366409.2812817,594,-86.3660659790039
1715366440.2067282,596,-48.207244873046875
1715366440.4163713,613,-96.62059783935547
1715366440.4275591,614,-93.51055908203125
1715366440.5215986,622,-94.73157501220703
