Wall time,Step,Value
1715449324.487465,76,-62.55699157714844
1715449400.6657095,152,-27.144296646118164
1715449512.7257466,264,-18.600481033325195
1715449538.3370256,290,-16.693706512451172
1715449588.901214,341,-17.46080207824707
1715449604.6363044,356,-15.391562461853027
1715449609.9766586,362,-14.978459358215332
1715449823.3062115,575,-15.536261558532715
1715449881.4706268,633,-17.699167251586914
1715449976.4115853,728,-13.846583366394043
1715450213.6483984,965,-8.433449745178223
1715450367.438396,1119,-4.552163600921631
1715450390.7100694,1142,-3.615393877029419
1715450654.4976182,1406,-0.9318654537200928
1715450839.6791701,1591,-7.016352653503418
1715450881.618971,1633,-7.8481550216674805
1715450887.447544,1639,-7.947946548461914
1715450964.7089028,1716,-9.345390319824219
1715450966.2662368,1718,-9.29594612121582
1715450969.3053117,1721,-9.220375061035156
1715451069.77724,1822,-7.037747383117676
1715451151.7441916,1903,-7.6275105476379395
1715451176.8739064,1929,-8.228802680969238
1715451202.190633,1954,-8.658716201782227
1715451270.695131,2022,-9.75231647491455
1715451447.7560654,2199,-12.60990047454834
1715451479.0308826,2231,-13.230466842651367
1715451574.6122787,2326,-13.786818504333496
1715451598.6402264,2350,-13.376413345336914
1715451614.420817,2366,-13.196975708007812
1715451718.6268446,2470,-14.329207420349121
1715451757.4606235,2509,-14.785857200622559
1715451761.512523,2513,-14.885178565979004
1715451785.0638072,2537,-14.98577880859375
1715451869.6883893,2621,-15.87153148651123
1715451942.3401766,2694,-16.62331199645996
1715451961.0164628,2713,-16.660486221313477
1715451985.746122,2737,-16.733945846557617
1715452039.7169812,2791,-17.131925582885742
1715452046.7332904,2798,-17.11212921142578
1715452074.575315,2826,-17.021638870239258
1715452099.7535257,2851,-17.022336959838867
1715452103.7752028,2855,-16.94877052307129
1715452108.3631673,2860,-16.9710750579834
1715452114.4438448,2866,-17.111658096313477
1715452121.737516,2873,-17.018749237060547
1715452156.7587605,2908,-17.15888214111328
1715452161.4585595,2913,-17.1431884765625
1715452172.660419,2924,-17.094039916992188
1715452187.6411915,2939,-17.077051162719727
1715452200.7638512,2952,-17.18433952331543
1715452226.7694533,2978,-17.162397384643555
1715452233.618595,2985,-17.10177230834961
