Wall time,Step,Value
1715365957.2455585,4,-566.278076171875
1715365957.3157902,14,-562.4169311523438
1715365957.3221684,15,-560.7425537109375
1715365957.3423462,18,-551.7338256835938
1715365957.4023602,26,-556.9899291992188
1715365957.407814,27,-552.315673828125
1715365986.0896623,40,-145.16738891601562
1715365986.1416721,47,-139.67361450195312
1715365986.1487322,48,-141.42868041992188
1715365986.1549008,49,-141.48951721191406
1715365986.2485795,62,-138.08895874023438
1715365986.254285,63,-133.4788818359375
1715365986.2824526,67,-131.8107147216797
1715366013.9839401,70,-136.8150634765625
1715366013.9918656,71,-147.70384216308594
1715366014.034223,77,-150.05563354492188
1715366014.0709841,82,-122.33084869384766
1715366014.1221814,89,-133.24697875976562
1715366014.1888936,99,-135.65956115722656
1715366014.2175205,103,-138.14674377441406
1715366040.2906232,107,-122.64612579345703
1715366040.3871748,121,-125.21736145019531
1715366040.4148307,125,-122.89961242675781
1715366040.4222002,126,-117.19972229003906
1715366040.437372,128,-121.36954498291016
1715366040.453666,130,-122.51441955566406
1715366040.4991903,136,-125.34724426269531
1715366067.4866824,144,-146.52294921875
1715366067.5024178,146,-161.62696838378906
1715366067.509802,147,-164.32679748535156
1715366067.5309882,150,-156.1304931640625
1715366067.5779274,157,-143.95083618164062
1715366067.5999858,160,-139.97994995117188
1715366067.6156886,162,-139.00437927246094
1715366067.6268883,164,-132.0878448486328
1715366067.6851597,172,-128.03756713867188
1715366094.6863923,177,-144.90924072265625
1715366094.7412112,184,-106.7912826538086
1715366094.7911048,191,-121.1865234375
1715366094.797052,192,-120.6801986694336
1715366094.881625,203,-125.15839385986328
1715366094.894895,205,-126.14974975585938
1715366121.5910025,213,-122.54891967773438
1715366121.6988277,229,-128.75619506835938
1715366121.8069813,244,-132.7144012451172
1715366150.0370924,245,-117.49862670898438
1715366150.1331024,258,-133.6595916748047
1715366150.1406274,259,-134.365478515625
1715366150.2266228,271,-131.22726440429688
1715366150.2510314,274,-129.49664306640625
1715366179.3699954,282,-168.48098754882812
1715366179.3964708,285,-157.10250854492188
1715366179.422611,288,-155.23336791992188
1715366179.4399788,290,-144.4835968017578
1715366179.4909844,295,-134.3206787109375
1715366179.5102978,297,-132.11175537109375
1715366179.624528,308,-122.87194061279297
1715366179.6638978,312,-125.15100860595703
1715366208.887131,316,-243.16522216796875
1715366208.9014251,318,-236.24447631835938
1715366208.9075267,319,-214.664306640625
1715366208.9301383,322,-185.13568115234375
1715366209.1197376,345,-160.81204223632812
1715366209.1264744,346,-160.2084503173828
1715366237.2713532,358,-150.61973571777344
1715366237.309896,364,-131.22314453125
1715366237.317245,365,-131.42640686035156
1715366237.3262007,366,-135.48744201660156
1715366237.4141262,378,-147.69515991210938
1715366266.3111436,386,-138.6700897216797
1715366266.3470037,390,-121.36258697509766
1715366266.361797,392,-112.56015014648438
1715366266.4017653,397,-126.77171325683594
1715366266.4349093,402,-127.1960220336914
1715366266.448392,404,-130.0706024169922
1715366266.5298753,415,-134.62156677246094
1715366296.7191842,421,-147.48814392089844
1715366296.7250626,422,-140.81182861328125
1715366296.822197,436,-129.7545928955078
1715366296.8304505,437,-128.80270385742188
1715366296.842287,439,-128.99757385253906
1715366296.8856046,446,-127.52564239501953
1715366296.9280195,452,-126.85084533691406
1715366329.103834,461,-166.6066436767578
1715366329.1308877,465,-147.5424346923828
1715366329.1521392,468,-143.19146728515625
1715366329.1674006,470,-134.93798828125
1715366329.1941116,474,-133.83181762695312
1715366329.2028272,475,-134.21981811523438
1715366329.2387202,480,-131.80650329589844
1715366329.2469592,481,-132.8942108154297
1715366329.2903001,487,-131.96859741210938
1715366361.9279253,510,-140.25079345703125
1715366361.9413054,512,-141.03387451171875
1715366361.948655,513,-140.1599884033203
1715366361.9555647,514,-140.83010864257812
1715366361.9773848,517,-134.36329650878906
1715366361.9898355,519,-132.98397827148438
1715366394.4119303,533,-134.2481231689453
1715366394.4173338,534,-129.9486846923828
1715366394.4310322,536,-119.86284637451172
1715366394.443569,538,-119.33955383300781
1715366394.4590333,540,-120.40686798095703
1715366394.4827936,544,-116.07868194580078
